Service_Request_External_ID__c,Client_External_ID,Household_External_ID,Subject,Description,Status,Priority,Origin,Created_Date_Helper,Closed_Date_Helper
SR-00001,CL-00002,HH-0001,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,New,Low,Phone,2026-07-16,
SR-00002,CL-00004,HH-0002,Profile information update,Client requested assistance regarding profile information update.,Closed,Low,Phone,2026-05-18,2026-06-07
SR-00003,CL-00005,HH-0003,Document request,Client requested assistance regarding document request.,Closed,Medium,Web,2025-12-01,2025-12-16
SR-00004,CL-00008,HH-0003,Account access issue,Client requested assistance regarding account access issue.,Closed,Medium,Email,2026-04-17,2026-05-12
SR-00005,CL-00009,HH-0004,Address change,Client requested assistance regarding address change.,Closed,Medium,Email,2026-03-14,2026-04-09
SR-00006,CL-00010,HH-0004,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Email,2026-07-28,2026-08-24
SR-00007,CL-00014,HH-0005,Address change,Client requested assistance regarding address change.,New,Low,Phone,2026-04-11,
SR-00008,CL-00020,HH-0007,Tax document request,Client requested assistance regarding tax document request.,Closed,Low,Email,2026-08-01,2026-08-07
SR-00009,CL-00022,HH-0008,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Web,2025-11-25,2025-12-06
SR-00010,CL-00025,HH-0009,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,High,Email,2026-04-22,2026-05-22
SR-00011,CL-00028,HH-0011,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Web,2026-01-15,2026-01-20
SR-00012,CL-00029,HH-0011,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,Closed,Medium,Email,2026-02-14,2026-02-19
SR-00013,CL-00031,HH-0011,Beneficiary update,Client requested assistance regarding beneficiary update.,New,High,Phone,2026-06-17,
SR-00014,CL-00033,HH-0012,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Email,2025-12-10,2025-12-28
SR-00015,CL-00035,HH-0012,Address change,Client requested assistance regarding address change.,New,Medium,Web,2026-04-23,
SR-00016,CL-00036,HH-0013,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,New,Medium,Email,2026-09-05,
SR-00017,CL-00038,HH-0013,Account access issue,Client requested assistance regarding account access issue.,New,Medium,Phone,2026-04-07,
SR-00018,CL-00040,HH-0014,Tax document request,Client requested assistance regarding tax document request.,New,Medium,Web,2025-12-09,
SR-00019,CL-00043,HH-0015,Tax document request,Client requested assistance regarding tax document request.,Closed,High,Email,2026-05-07,2026-06-05
SR-00020,CL-00045,HH-0016,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,High,Web,2026-07-04,2026-07-20
SR-00021,CL-00047,HH-0017,Profile information update,Client requested assistance regarding profile information update.,New,High,Web,2026-05-27,
SR-00022,CL-00053,HH-0019,Address change,Client requested assistance regarding address change.,Closed,Medium,Web,2025-11-27,2025-12-05
SR-00023,CL-00054,HH-0019,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,Low,Phone,2026-03-21,2026-03-29
SR-00024,CL-00055,HH-0020,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Low,Phone,2025-11-18,2025-11-26
SR-00025,CL-00058,HH-0021,Address change,Client requested assistance regarding address change.,Closed,Medium,Email,2026-02-02,2026-03-02
SR-00026,CL-00062,HH-0023,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Phone,2026-05-02,2026-05-20
SR-00027,CL-00065,HH-0024,Document request,Client requested assistance regarding document request.,New,High,Phone,2026-01-23,
SR-00028,CL-00067,HH-0025,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,High,Phone,2026-06-13,2026-06-29
SR-00029,CL-00068,HH-0025,Profile information update,Client requested assistance regarding profile information update.,Closed,High,Phone,2026-02-24,2026-03-09
SR-00030,CL-00069,HH-0025,Statement delivery issue,Client requested assistance regarding statement delivery issue.,New,Medium,Web,2025-11-26,
SR-00031,CL-00071,HH-0026,Document request,Client requested assistance regarding document request.,Closed,High,Web,2025-12-03,2025-12-14
SR-00032,CL-00072,HH-0027,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Web,2026-06-18,2026-07-05
SR-00033,CL-00073,HH-0027,Account access issue,Client requested assistance regarding account access issue.,Closed,Low,Phone,2026-05-09,2026-06-07
SR-00034,CL-00076,HH-0028,Address change,Client requested assistance regarding address change.,Closed,Medium,Web,2025-11-21,2025-12-21
SR-00035,CL-00077,HH-0028,Tax document request,Client requested assistance regarding tax document request.,New,Low,Email,2026-07-01,
SR-00036,CL-00078,HH-0029,Tax document request,Client requested assistance regarding tax document request.,Closed,High,Phone,2026-09-02,2026-09-07
SR-00037,CL-00080,HH-0029,Document request,Client requested assistance regarding document request.,New,Medium,Phone,2026-03-12,
SR-00038,CL-00083,HH-0031,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,Closed,Medium,Web,2025-12-10,2026-01-06
SR-00039,CL-00086,HH-0031,Account access issue,Client requested assistance regarding account access issue.,Closed,Medium,Phone,2025-11-27,2025-12-07
SR-00040,CL-00089,HH-0032,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,Closed,Medium,Email,2026-08-11,2026-08-25
SR-00041,CL-00091,HH-0033,Tax document request,Client requested assistance regarding tax document request.,Closed,Medium,Web,2026-04-25,2026-05-10
SR-00042,CL-00094,HH-0034,Address change,Client requested assistance regarding address change.,Closed,High,Web,2026-06-22,2026-07-19
SR-00043,CL-00098,HH-0036,Tax document request,Client requested assistance regarding tax document request.,Closed,High,Phone,2026-03-07,2026-03-15
SR-00044,CL-00106,HH-0038,Account access issue,Client requested assistance regarding account access issue.,Closed,High,Phone,2026-02-07,2026-03-03
SR-00045,CL-00112,HH-0041,Account access issue,Client requested assistance regarding account access issue.,New,Medium,Phone,2026-02-23,
SR-00046,CL-00114,HH-0041,Statement delivery issue,Client requested assistance regarding statement delivery issue.,Closed,Medium,Phone,2026-05-15,2026-05-22
SR-00047,CL-00116,HH-0042,Address change,Client requested assistance regarding address change.,Closed,High,Email,2026-03-11,2026-03-24
SR-00048,CL-00119,HH-0043,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,Low,Email,2026-06-07,2026-06-16
SR-00049,CL-00120,HH-0043,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Email,2026-01-26,2026-02-12
SR-00050,CL-00121,HH-0043,Document request,Client requested assistance regarding document request.,Closed,Medium,Web,2026-01-26,2026-02-25
SR-00051,CL-00126,HH-0044,Profile information update,Client requested assistance regarding profile information update.,Closed,Low,Web,2026-03-21,2026-04-12
SR-00052,CL-00129,HH-0045,Wire transfer inquiry,Client requested assistance regarding wire transfer inquiry.,New,Medium,Email,2026-02-12,
SR-00053,CL-00131,HH-0046,Profile information update,Client requested assistance regarding profile information update.,Closed,Medium,Phone,2025-11-19,2025-12-07
SR-00054,CL-00133,HH-0047,Document request,Client requested assistance regarding document request.,Closed,Medium,Web,2026-03-26,2026-04-10
SR-00055,CL-00140,HH-0048,Tax document request,Client requested assistance regarding tax document request.,Closed,Low,Phone,2026-04-01,2026-04-08
SR-00056,CL-00141,HH-0049,Beneficiary update,Client requested assistance regarding beneficiary update.,Closed,Low,Email,2026-07-31,2026-08-29
SR-00057,CL-00143,HH-0050,Profile information update,Client requested assistance regarding profile information update.,New,Medium,Phone,2026-06-23,
SR-00058,CL-00144,HH-0050,Address change,Client requested assistance regarding address change.,New,Medium,Phone,2026-06-08,
