Activity_External_ID__c,WhoId,WhatId,Subject,StartDateTime,EndDateTime,Location,Description
EVENT-00001,003aj00002LIvnXAAT,001aj00003rOxZyAAK,Portfolio Review,2026-03-23T06:42:22,2026-03-23T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00002,003aj00002LIvnXAAT,001aj00003rOxZyAAK,Investment Strategy Review,2026-09-29T06:42:22,2026-09-29T07:42:22,Virtual,Upcoming client advisory meeting.
EVENT-00003,003aj00002LIvnZAAT,001aj00003rOxZzAAK,Annual Review Meeting,2026-01-06T06:42:22,2026-01-06T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00004,003aj00002LIvnZAAT,001aj00003rOxZzAAK,Portfolio Review,2026-10-13T06:42:22,2026-10-13T07:42:22,Virtual,Upcoming client advisory meeting.
EVENT-00005,003aj00002LIvndAAD,001aj00003rOxa0AAC,Investment Strategy Review,2026-07-28T06:42:22,2026-07-28T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00006,003aj00002LIvndAAD,001aj00003rOxa0AAC,Investment Strategy Review,2026-12-08T06:42:22,2026-12-08T07:42:22,Virtual,Upcoming client advisory meeting.
EVENT-00007,003aj00002LIvnfAAD,001aj00003rOxa1AAC,Investment Strategy Review,2025-12-24T06:42:22,2025-12-24T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00008,003aj00002LIvnfAAD,001aj00003rOxa1AAC,Portfolio Review,2026-09-16T06:42:22,2026-09-16T07:42:22,Virtual,Upcoming client advisory meeting.
EVENT-00009,003aj00002LIvnmAAD,001aj00003rOxa3AAC,Portfolio Review,2026-05-23T06:42:22,2026-05-23T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00010,003aj00002LIvnpAAD,001aj00003rOxa4AAC,Estate Planning Discussion,2026-06-24T06:42:22,2026-06-24T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00011,003aj00002LIvnpAAD,001aj00003rOxa4AAC,Investment Strategy Review,2026-10-30T06:42:22,2026-10-30T07:42:22,Virtual,Upcoming client advisory meeting.
EVENT-00012,003aj00002LIvnsAAD,001aj00003rOxa5AAC,Estate Planning Discussion,2026-07-19T06:42:22,2026-07-19T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00013,003aj00002LIvnwAAD,001aj00003rOxa7AAC,Retirement Planning Meeting,2025-11-01T06:42:22,2025-11-01T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00014,003aj00002LIvo7AAD,001aj00003rOxaAAAS,Annual Review Meeting,2026-07-06T06:42:22,2026-07-06T07:42:22,Advisor Office,Completed client advisory meeting.
EVENT-00015,003aj00002LIvoJAAT,001aj00003rOxaFAAS,Retirement Planning Meeting,2025-12-21T06:42:22,2025-12-21T07:42:22,Advisor Office,Completed client advisory meeting.
